公司,工作地區,職稱,start_time,end_time,最高學歷,一週工時,待遇,是否推薦此工作,內容
珍食堡實業股份有限公司,高雄市,國內業務人員,1900-01-20,1902-01-19,大學,126,"27,000 / 月",不推,"【地獄工作】
優點
不要公司門號 補助通話費500元
機車每公里補助油錢2元

賣寵物食品的業務
底薪 27K+全勤1千 扣勞健保1063  實際領26937元

被寵壞的客戶太多 老闆獎金給很少 一直壓榨
動不動抓到小毛病就要記缺點 一支缺點扣300元年終獎金
年終就是你的底薪一個月 看能被扣多少次
工廠 業務部 助理 主管群 誰犯錯就扣錢

業績競賽獎金根本是靠扣員工錢來發的
請的助理又很愛推卸工作 能不做事就不做事  不是答非所問 就是裝沒這回事
結果主管一問 馬上找出業務稍早問的問題的答案  有夠爛

公司在新北 沒辦公室的業務區域不打卡 都開視訊會議
星期一到星期五九點視訊會議 練話術 大約半小時
星期二跟四 老闆會出現在會議中 只會強調業務要衝衝衝

廢話一大堆 不敢錢給多一點
因為行業性質 客戶剛開門不建議去拜訪 因為店員要整理店 點貨上架 也要清理貓狗的大小便
公司不打卡 強調業務工作時間彈性
但卻把業務時間彈性這句話當作24小時待命

要你星期一到星期日都工作 會瘋狂傳工作訊息給你
關靜音也沒用 工作群組會瘋狂用tag的 音效照樣跳出來
周休二日形同虛設 國定假日若有合作店家開幕 當區業務被主管帶出門辦試吃會 超可憐

會計每個月會給一份EXCEL自己寫 每天都8:30之前打上班卡 17:30後打下班卡
直接偽造文書 真的很棒

早上不到六點就收到工作訊息 8點半之前就在群組瘋狂tag你
視訊會議結束要馬上去銀行存昨天收的貨款

午休吃飯也一直有工作訊息
午餐後 開始跑客戶 訊息也是不間斷
一直弄到晚上八九點還要業務自己打今天收的訂單

本人最晚曾經弄到11點
這公司寵出一堆爛客戶 還有客戶半夜12點在狂發問號 問你甚麼時候到貨
業務跑一天日曬雨淋 居然還要自己上系統KEY訂購單
單一多 可能十幾單 有的大單破百樣商品 要打超久
規定每天要打日報表 其中一個分頁要貼今天訂單
要在打單系統上匯出 所以強制一定要打完訂單 兼回主管訊息 弄完11 12點點 每天輪迴
人太累就會犯錯  一個錯誤就扣你年終300元

禮拜六日也會一直收到主管訊息根本沒有辦法休息 每週工作七天 薪水才27000
一天900元 老闆把別人家小孩當狗在用

跑寵物店 都覺得自己比貓狗還不如
指定品牌銷售活動月業績第一名 獎金2萬元 操成這樣一天才多賺6百多元幹嘛？

真的是會笑死人 不知道的人會以為你是不是出來創業打拼了咧

要業務拍狗狗貓貓吃公司產品的影片 影片數不夠 寫檢討報告
業績最後兩名 寫檢討報告
業務整天跑外面 日曬雨淋被操成狗 累到不行key單打錯會被記缺點
表現良好會記一支嘉獎 年終獎金+300元
犯錯會記一支缺點扣年終獎金300元

公司很聰明 不扣你底薪
故意用年終來閃 凹你一整年的辛勞

有疫情還要員工參加寵物展 去人流聚集場所
可憐勞工被資方當畜生在用

公司有請業助 卻不用打訂單
業務跑得累死還要自己做一堆文書

業助的能力也很有問題
某訂單有狀況 已經跟她說處理異狀中 先不提供採購單 不然有問題的單你給物流怎麼辦?
居然會回 那你是這單不提供 還是以後的單都不提供了

？？？？？

中午12點多正在吃午餐 業助會打給你說 你下午打兩張單欸
時空旅人嗎??? 現在中午 你說我下午打了單??? 還會一直跟你吵說有 真的有
超智障 有夠低能
"
昇飛機械自動化科技有限公司,新北市,工程師,1900-01-20,1902-01-19,,,,,"【工作內容】
機械設計、電腦維護、現場組裝。"
益華電腦科技股份有限公司,新竹市,產品工程師,2004-01-21,2006-01-20,碩士,40,"1,460,000 / 年",推,"【工作內容】
工作輕鬆 但比較沒發展性"
資通,臺北市,資深系統設計師,2003-01-21,2005-01-20,大學,45,"600,000 / 年",不推,"【事實】
職務面:
T1大部分都是負責業務邏輯撰寫的，不會業務內容也沒關係，基本上從pg開始做，可能有window form 或者類似的service、Java JSF不包含架構知識的coding，薪水都是一樣的漲幅。大概做個一年，就會適性分類成 SA(大多數) 或者 SD。
由於大部分人都做SA，如果你不是在 T1 某一個系統組，基本上程式面能學習的不多。
(尤其是那個甚麼用1BM R6D 3g1寫的各業務服務，資料耦合性很高)。

小部分或單純對業務邏輯沒興趣的會選擇做SD，裡面的SD指的是so many duty。
這間公司的SD主要就是環境建置，基本上就是MIS，並依照你所在的組別進行其他服務維護或開發。

沒甚麼人會指導你做環境建置，因為很雜很麻煩，大家只想躲遠遠的。
而且你自己google應該比向他們求助強。

並依照你之前的分組會讓你(繼續手頭上的工作並兼任環境建置)，你要做的就是把你負責的每個環境都照顧好，就算是有些人把他搞砸了，也要幫他們修好，不然弄壞的人就會嫌棄你環境建置做得不好。
(有很多寫業務邏輯的以為你是雜工，實際上你是褓姆，可能還要幫他們debug。)

主要服務運行用的算是java體系，spring、spring boot...等等，如果你從來沒有自己運行過api、或甚麼apache相關的服務，或完全不知道怎麼運行apache 參數設定、怎麼debug，那基本上你只能靠前一個 有能者 留下的word文件逐漸補齊或學會。
我第一次運行tomcat服務的時候花了兩天加班，沒人可以問，就是一個一個檔案打開來看，然後靠智商通靈一下。

環境建置還有一個的部分，你要跟PM去客戶那邊處理很多事情，當你的PM怪怪的時候，你會過得很痛苦，比方說她認為只要跟 "" 電腦 "" 有關的事情都是你的事情。
出了問題電話就會一直打過來，不論你現在是在開發或者做甚麼，當你告訴她這不是你的問題，她講不過就帶你去找協理，協理就會先了解狀況，再問你做不做得到? 能不能幫忙解決?
能，那你做；不能，那散會，隔幾天PM繼續推給你，再開始下一輪推卸大賽。

當你解決職務額外的問題一次，就會有第二次、第三次，我那時候太蠢，那個PM已經逼走前一個工程師了，我還去接那個位置。

在公司裡，或許有人會欣賞你；或許有人會稱讚你；或許有人會鼓勵你，而你也會想回應他們的期待，
可是那只是很小一部份而已，更多人只是在消耗你。

薪水面:
躺平，據104資料顯示，公司非主管中位數有一百，反正我只有領他們的一半，可能大概要花十年才會達到這個門檻(?)，跟你的能力無關，只跟你躺多久有關。

總結:
其實我離職也不是因為覺得工作很困難，我只是心寒。
幾經折磨，也沒能收穫到甚麼，忍耐不如放手，別把病和情緒帶走。"
瑞青企業股份有限公司,宜蘭縣,品管╱檢驗人員,1900-01-20,1902-01-19,大學,40,"31,000 / 月",推,"【公司環境】
精密機械製造，因此環境良好，採24小時恆溫，公司提供免費午餐，加班補貼餐費，社員、老闆間也非常好相處。
由於公司規模不大，公司內部晉升制度相對比較不完善，對於希望短期間內能夠不斷爬升的人比較不推薦。"
中央大學企管系,桃園市,所務,1900-01-20,1902-01-19,碩士,8,200 / 小時,推,"【工讀生】
企管系辦對外窗口，負責解決學生疑難雜症、接聽電話、接收與公告活動消息"
飛利昇工業股份有限公司,桃園市,機構工程師,2012-01-21,2014-01-20,五專,,,不推,"【工作環境】
老闆會用監視器觀用辦公室螢幕，考績是以加班時數來計算，工作壓力很大"
威剛科技股份有限公司,新北市,其他專案管理師,2004-01-21,2006-01-20,碩士,60,"60,000 / 月",不推,"【工作內容】
很操，反應時間短，工作量大"
群創光電,高雄市,生產線工程師,2005-01-21,2007-01-21,碩士,50,"48,000 / 月",不推,"【工作性質】
打雜小弟

【實際工作內容】
打雜的，包山包海就是不包薪水

【工時狀況】
經常加班

【升遷制度】
一日帶線，終生帶線

【公司 / 團隊文化】
換了總廠，一整個精實"
古典主義創作服裝有限公司,新竹縣,美工設計,2007-01-21,2009-01-20,大學,40,"28,500 / 月",不推,"【電商平台上架 公司門市活動美工製作 業務助理】
公司規模不大
所以有很多雜事要處理

事情與薪資待遇不成正比
但不用加班
同事人都蠻好的"
友達光電股份有限公司,臺中市,暑期實習生,1900-01-20,1902-01-19,碩士,40,"32,000 / 月",推,"【AI 演算法開發實習生】
在友達實習會有完整 Mentorship 制度、實習生成果發表的比賽，也提供較正職更好的伙食津貼、免費宿舍，亦可直接接觸到產業中的資料並將服務上線，非常推薦。"
世界先進積體電路股份有限公司,新竹市,擴散製程工程師,2005-01-21,2007-01-21,碩士,60,"67,000 / 月",不推,"【製程越來越少人】
一直買新廠但是一直不進新人，就從舊廠掉過去，最後一起崩盤，沒有人還是什麼都要做，一起六個人顧60台機台，現在三個人顧，還要驗新機，真心不推"
中華航空,桃園市,技術員,2004-01-21,2006-01-20,大學,40,"55,000 / 月",不推,"【對飛機修護沒有熱情千萬不要來應徵，工作很髒很累】
如題，從事飛機修護也有粉塵、噪音污染的問題，常常需要碰一些有毒的溶劑膠類。可能有從高處摔落的危險（防護措施無法保證人身安全）

【工時狀況】
每日八小時含午餐休息時間。

【升遷制度】
沒有明確升遷制度，加薪一年約五百。

【公司 / 團隊文化】
官僚文化，換了一批人後政策又改一遍。"
英業達股份有限公司,桃園市,BIOS工程師,2001-01-21,2003-01-21,碩士,50,"43,000 / 月",推,"【實際工作內容】
在裡面待了大約2年多，部門風氣很不錯，主管很照顧員工，同事間也會互相教學成長，唯獨公司薪水不會漲，蠻適合新手練功的地方，蹲個3年左右，有獨立接案能力後，英文能力如果不錯，蠻有機會可以跳到外商工作的，綜合來說 還行，就是薪水不OK!
分紅方面，一年分兩次 2 月大概領2個月 8月大約1個月 一年總共15左右。"
維康醫療用品有限公司,臺南市,工讀生,1900-01-20,1902-01-19,大學,20,160 / 小時,推,"【工時狀況】
上班時段為晚班約18:30-21:30
假日8:00-17:00
一星期排休2天

【實際工作內容】
銷售醫療用品(不含藥品)，介紹輔具使用方法，結帳等

正職人員一開始會跟你一起當班，後依學習狀況會希望你兩個星期~一個月內能獨立上班。

"
康是美企業有限公司,高雄市,夜班PT,1900-01-20,1902-01-19,大學,15,160 / 小時,推,"【工作介紹】
工作輕鬆，同事與店長人都很好，用餐時間30分鐘，有給薪，兩周排一次班。
工作內容：收銀、檢查商品到期日、推銷主打產品等。"
宏齊科技股份有限公司,新竹市,行銷業務,1900-01-20,1902-01-19,,,,不推,"【疫情期間強迫新人放無薪假】
報到第一天就遇到疫情爆發，第二天被通知回家遠程辦公，第三天HR以「延後報到」的說詞請我先辦離職，她在電話中提到「這是因為大主管不想支付遠程辦公的薪資」，並承諾月底會通知新的報到時間。等到月底時遲遲未收到通知，對於HR「未實現承諾」這點感受不佳。

還有，第二天上班才知道我待的部門不是隸屬「宏齊科技股份有限公司」，而是新創的子公司「忠釋實業股份有限公司」，做生技產品類的，帶我的那位同事滿和善，很可惜因為公司的決策無法繼續共事。"
翌宙科技股份有限公司,新竹縣,國內市場行銷,1900-01-20,1902-01-19,,,,不推,"【老闆看的不是能力，是生肖和姓名學】
老闆是一對年過65的白髮兄妹，面試前都會拿面試者的姓名、出生年月日、生肖給算命師看過，算命師說可以的才會錄取。偏愛台清交畢業生、留學生、乖乖被罵的員工。
兩人經常沒來由的情緒失控、飆罵員工。交辦工作後會奪命連環Call員工回報進度、拿出績效。常對員工說：「我每天要解決這麼多問題，你閒閒沒事還要發薪水給你。」
每週一強迫大家作難坐的椅子開會到中午，會議內容是看老舊的影片、不斷洗腦大家「公司業績不好、發不出薪水給員工囉！」
兩人過去曾在台北、桃園開公司，後期因為經營不善結束公司並有積欠員工薪資的紀錄。在竹北開業期間也常威脅員工要配合公司某某政策否則不發年終的狀況。"
綠舍投資管理顧問有限公司,新竹市,社群行銷,1900-01-20,1902-01-19,,,,不推,"【會計常常少匯員工薪水】
辦公室位於老舊大樓的10樓，工作環境髒亂。
會計上班都在看盤、常常少匯員工薪水，提醒她薪資有少還會被兇。
老闆是退休房仲，喜愛臨時開會檢討工作、語帶人身攻擊、貶低員工。
老闆對剪接的要求是一小時剪輯一支5分鐘的影片(含上字幕、特效)
對快剪有興趣、熱愛挑戰的人可以嘗試看看。"
奕傑電子股份有限公司,臺中市,採購,2004-01-21,2006-01-20,大學,40,"24,600 / 月",不推,"【主管情緒化。】
ㄌ姓主管，非常情緒化，很多事都可以好好說，偏要用罵的才甘願。

【實際工作內容】
內容包山包海，收料，開入庫單，做報表，物料需求採購。
不管是否繁忙還得協助支援其他部門。
如：生技.品管.生產線.物管。

【升遷制度】
無。

每年7月份薪資（8/10發放）會調漲，每個人幅度不同
產線：600-1000都有可能
自己本身：600
在今年8月提了離職，所以就沒調薪水了。感覺很差。

【給公司的建議】
建議還是要乖乖照勞基法走。
刁難離職證明真的格局很小。
依公司規定寫了離職證明申請單，卻要求告知「需求單位」才願意給。
後來收到了離職證明看了真的吐血。

居然在上面寫「需求單位xx公司報到用」。

【薪資福利】
本薪（基本薪資）+技能獎金+全勤+績效獎金

三節禮金是福委會，每個月需扣200福利金

中秋小年終 完全看公司想不想給，明明是給「前一年」，但碰到疫情就直接當沒這回事。

更絕的是，某年的年終獎金居然是給紅包袋裡面夾紙條。

往年是給2萬現金 其餘轉帳。

【工時狀況】
8:00-10:00上班
10:00-10:10休息
10:10-12:10上班
12:10-13:00午休
13:00-15:00上班
15:00-15:10休息
15:10-17:10上班

*疫情發生之前 若要集合宣布事情，都佔用員工的下班時間
*疫情發生前，每個禮拜一 早上7:55就要到公司參加晨會，佔用員工休息時間

【公司 / 團隊文化】
倚老賣老。
"
